date,HuoD,XiD,FaD
2010-01-04,1,1,1
2010-01-05,1.00605163,1.090548575,1.006033939
2010-01-06,1.006551176,1.10409781,1.004938056
2010-01-07,0.983734729,1.1235955,0.985789976
2010-01-08,0.994929358,1.147389292,0.994278204
2010-01-11,0.999248752,1.189689352,0.997062417
2010-01-12,1.016813309,1.15994712,1.012987364
2010-01-13,1.003715633,1.060475869,1.000852452
2010-01-14,1.017679971,1.07072041,1.013944197
2010-01-15,1.019062162,1.086582932,1.014654714
2010-01-18,1.032239535,1.089887626,1.024387212
2010-01-19,1.029225789,1.089887626,1.021152907
2010-01-20,0.997684878,1.089887626,0.997184525
2010-01-21,1.001934523,1.089887626,0.998348596
2010-01-22,0.983621326,1.089887626,0.978328341
2010-01-25,0.971568189,1.089887626,0.973015305
2010-01-26,0.93929522,1.089887626,0.947766094
2010-01-27,0.936644513,0.98078401,0.945672414
2010-01-28,0.944997185,0.934080003,0.951428461
2010-01-29,0.948285521,0.906516986,0.952486579
2010-02-01,0.929069565,0.843734565,0.934975005
2010-02-02,0.927379894,0.843351753,0.932459085
2010-02-03,0.949369093,0.876657064,0.951300897
2010-02-04,0.955793385,0.853687889,0.956583827
2010-02-05,0.94513641,0.810429271,0.947813196
2010-02-08,0.944052185,0.801624416,0.945772807
2010-02-09,0.956349849,0.823062311,0.954629774
2010-02-10,0.957437933,0.836078179,0.956174437
2010-02-11,0.955389682,0.852922248,0.953929957
2010-02-12,0.963227206,0.862875556,0.960239952
2010-02-22,0.961206462,0.862109915,0.960580786
2010-02-23,0.965631212,0.834164086,0.965386977
2010-02-24,0.990099057,0.847179955,0.986747647
2010-02-25,0.999776947,0.866703757,0.994673745
2010-02-26,0.99887522,0.849859687,0.99466357
2010-03-01,1.010073166,0.895032414,1.005975875
2010-03-02,1.010243324,0.865555305,1.004430477
2010-03-03,1.027268107,0.870914787,1.019589203
2010-03-04,0.99456708,0.837226647,0.992032779
2010-03-05,0.998356158,0.8383751,0.990759346
2010-03-08,1.00563488,0.840289192,0.99543897
2010-03-09,1.005301197,0.85177378,0.994981482
2010-03-10,0.995434068,0.852922232,0.987453181
2010-03-11,0.99521917,0.839140724,0.986618562
